# frame_idx  time_s  arc_m
0 0.000000 0.49781322
1 0.005155 0.49792262
2 0.010309 0.49746360
3 0.015464 0.49684307
4 0.020619 0.49627119
5 0.025773 0.49531491
6 0.030928 0.49354454
7 0.036082 0.49284436
8 0.041237 0.49209617
9 0.046392 0.49225902
10 0.051546 0.49257012
11 0.056701 0.49378393
12 0.061856 0.49340737
13 0.067010 0.49417521
14 0.072165 0.49471392
15 0.077320 0.49498769
16 0.082474 0.49431852
17 0.087629 0.49409722
18 0.092784 0.49290589
19 0.097938 0.49371905
20 0.103093 0.49432910
21 0.108247 0.49500598
22 0.113402 0.49447066
23 0.118557 0.49452989
24 0.123711 0.49484290
25 0.128866 0.49450337
26 0.134021 0.49455229
27 0.139175 0.49641208
28 0.144330 0.49724540
29 0.149485 0.49691614
30 0.154639 0.49728285
31 0.159794 0.49748314
32 0.164948 0.49735030
33 0.170103 0.49792988
34 0.175258 0.49798647
35 0.180412 0.49878716
36 0.185567 0.49828691
37 0.190722 0.49855902
38 0.195876 0.49805012
39 0.201031 0.49794531
40 0.206186 0.49996993
41 0.211340 0.50084801
42 0.216495 0.50117521
43 0.221649 0.50292393
44 0.226804 0.50272927
45 0.231959 0.50301111
46 0.237113 0.50271709
47 0.242268 0.50248945
48 0.247423 0.50092646
49 0.252577 0.49973844
50 0.257732 0.49793904
51 0.262887 0.49521462
52 0.268041 0.49537596
53 0.273196 0.49546609
54 0.278351 0.49675239
55 0.283505 0.49648246
56 0.288660 0.49943681
57 0.293814 0.50054537
58 0.298969 0.50232804
59 0.304124 0.50178049
60 0.309278 0.50406174
61 0.314433 0.50451067
62 0.319588 0.50376507
63 0.324742 0.50633420
64 0.329897 0.50666123
65 0.335052 0.50659548
66 0.340206 0.50581108
67 0.345361 0.50482986
68 0.350515 0.50539156
69 0.355670 0.50392666
70 0.360825 0.50265215
71 0.365979 0.50218708
72 0.371134 0.49995901
73 0.376289 0.50218517
74 0.381443 0.50258772
75 0.386598 0.50144962
76 0.391753 0.50201818
77 0.396907 0.50239488
78 0.402062 0.50180012
79 0.407216 0.50248711
80 0.412371 0.50286136
81 0.417526 0.50346456
82 0.422680 0.50427846
83 0.427835 0.50431730
84 0.432990 0.50441089
85 0.438144 0.50357975
86 0.443299 0.50289872
87 0.448454 0.50257077
88 0.453608 0.50103277
89 0.458763 0.50108858
90 0.463918 0.50154915
91 0.469072 0.50181515
92 0.474227 0.50091451
93 0.479381 0.50231455
94 0.484536 0.50050405
95 0.489691 0.49968335
96 0.494845 0.49811277
97 0.500000 0.49715951
98 0.505155 0.49730777
99 0.510309 0.49653953
100 0.515464 0.49660490
101 0.520619 0.49665191
102 0.525773 0.49677512
103 0.530928 0.49779584
104 0.536082 0.49707829
105 0.541237 0.49729673
106 0.546392 0.49747904
107 0.551546 0.49699504
108 0.556701 0.49717158
109 0.561856 0.49652346
110 0.567010 0.49592278
111 0.572165 0.49645086
112 0.577320 0.49582444
113 0.582474 0.49570125
114 0.587629 0.49603696
115 0.592784 0.49623408
116 0.597938 0.49600753
